Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
1990,Jack Morris,Tigers,5.84,3.5,1.67,0.94,15.10%,9.00%,6.10%,0.238,1.31,0.262,63.80%,115,102,,4.51,4.1,0.4,,,1009211
1990,Melido Perez,White Sox,7.36,3.93,1.87,0.64,19.30%,10.30%,9.00%,0.238,1.34,0.286,62.80%,117,90,,4.61,3.44,1.18,,,1010183
1990,Mark Portugal,Astros,6.22,3.07,2.03,0.96,16.40%,8.10%,8.30%,0.246,1.29,0.275,73.50%,99,108,,3.62,3.9,-0.28,,,1010460
1990,Dennis Rasmussen,Padres,4.12,2.97,1.39,1.34,10.40%,7.50%,2.90%,0.286,1.49,0.293,70.80%,118,125,,4.51,4.87,-0.36,,,1010703
1990,Ron Robinson,- - -,3.56,2.55,1.39,0.35,9.30%,6.70%,2.60%,0.274,1.36,0.297,71.70%,84,89,,3.26,3.48,-0.22,,,1011076
1990,Nolan Ryan,Rangers,10.24,3.26,3.14,0.79,28.40%,9.10%,19.30%,0.186,1.03,0.244,68.50%,88,73,,3.44,2.87,0.57,,,1011348
1990,Scott Sanderson,Athletics,5.58,2.88,1.94,1.18,14.50%,7.50%,7.00%,0.252,1.31,0.27,74.20%,104,113,,3.88,4.29,-0.4,,,1011422
1990,Mike Scott,Astros,5.29,2.89,1.83,1.18,13.90%,7.60%,6.30%,0.241,1.26,0.255,71.20%,104,120,,3.81,4.32,-0.51,,,1011691
1990,Zane Smith,- - -,5.43,2.09,2.6,0.63,15.10%,5.80%,9.30%,0.243,1.14,0.273,75.40%,68,87,,2.55,3.24,-0.7,,,1012218
1990,Dave Stewart,Athletics,5.6,2.8,2,0.54,15.30%,7.60%,7.60%,0.226,1.16,0.257,78.90%,69,87,,2.56,3.33,-0.77,,,1012519
1990,Dave Stieb,Blue Jays,5.39,2.76,1.95,0.47,14.50%,7.40%,7.10%,0.227,1.16,0.258,75.80%,74,83,,2.93,3.36,-0.43,,,1012532
1990,Frank Tanana,Tigers,5.82,3.37,1.73,1.28,14.90%,8.70%,6.30%,0.276,1.45,0.301,70.00%,135,115,,5.31,4.63,0.67,,,1012818
1990,Fernando Valenzuela,Dodgers,5.07,3.4,1.49,0.84,12.80%,8.60%,4.20%,0.271,1.47,0.296,68.80%,124,109,,4.59,4.02,0.56,,,1013327
1990,Frank Viola,Mets,6.56,2.16,3.03,0.54,17.90%,5.90%,12.00%,0.238,1.15,0.28,76.90%,73,77,,2.67,2.88,-0.21,,,1013435
1990,Bob Welch,Athletics,4.8,2.91,1.65,0.98,13.00%,7.90%,5.10%,0.239,1.22,0.253,79.40%,79,110,,2.95,4.19,-1.25,,,1013750
1990,Ed Whitson,Padres,5,1.85,2.7,0.51,13.80%,5.10%,8.70%,0.247,1.15,0.277,77.60%,68,79,,2.6,3.07,-0.47,,,1013911
1990,Bobby Witt,Rangers,8.96,4.46,2.01,0.49,23.20%,11.50%,11.60%,0.235,1.38,0.305,72.40%,86,78,,3.36,3.06,0.3,,,1014170
1990,Matt Young,Mariners,7.03,4.27,1.64,0.6,18.30%,11.10%,7.20%,0.233,1.35,0.278,70.70%,88,91,,3.51,3.62,-0.1,,,1014385
1991,Kevin Appier,Royals,6.85,2.64,2.59,0.56,17.90%,6.90%,11.00%,0.251,1.28,0.297,68.50%,83,79,,3.42,3.06,0.37,,,3
1991,Randy Johnson,Mariners,10.19,6.79,1.5,0.67,25.70%,17.10%,8.60%,0.208,1.5,0.282,74.50%,96,99,,3.98,4,-0.02,,,60
1991,Mike Morgan,Dodgers,5.33,2.32,2.3,0.46,14.80%,6.40%,8.30%,0.223,1.09,0.252,72.10%,78,85,,2.78,3.14,-0.36,,,67
1991,Todd Stottlemyre,Blue Jays,4.77,3.08,1.55,0.86,12.60%,8.10%,4.50%,0.233,1.23,0.248,73.10%,91,102,,3.78,4.23,-0.45,,,75
1991,Greg Swindell,Indians,6.39,1.17,5.45,0.79,17.40%,3.20%,14.20%,0.257,1.14,0.295,66.40%,85,75,,3.48,3.01,0.47,,,76
1991,Tom Glavine,Braves,7.01,2.52,2.78,0.62,19.40%,7.00%,12.40%,0.219,1.09,0.26,76.20%,67,80,,2.55,3.06,-0.5,,,90
1991,Greg Maddux,Cubs,6.78,2.26,3,0.62,18.50%,6.20%,12.30%,0.232,1.13,0.274,68.50%,87,79,,3.35,3.06,0.29,,,104
1991,John Smoltz,Braves,5.8,3.02,1.92,0.63,15.60%,8.10%,7.50%,0.238,1.23,0.27,70.20%,99,92,,3.8,3.52,0.28,,,115
1991,Scott Erickson,Twins,4.76,3.13,1.52,0.57,12.70%,8.30%,4.40%,0.244,1.27,0.27,75.10%,74,93,,3.18,3.76,-0.58,,,137
1991,John Burkett,Giants,5.7,2.61,2.18,0.83,14.70%,6.70%,8.00%,0.272,1.37,0.304,71.30%,118,102,,4.18,3.8,0.38,,,179
1991,Jose Rijo,Reds,7.58,2.42,3.13,0.35,20.90%,6.70%,14.20%,0.215,1.08,0.267,72.70%,67,64,,2.51,2.53,-0.02,,,349
1991,Chuck Finley,Angels,6.77,4,1.69,0.91,17.90%,10.60%,7.30%,0.242,1.35,0.279,75.20%,93,99,,3.8,4.1,-0.3,,,384
1991,Charles Nagy,Indians,4.64,2.81,1.65,0.64,11.90%,7.20%,4.70%,0.271,1.39,0.297,70.60%,101,94,,4.13,3.77,0.36,,,397
1991,Kevin Brown,Rangers,4.1,3.84,1.07,0.73,10.30%,9.60%,0.60%,0.28,1.53,0.301,70.50%,109,111,,4.4,4.46,-0.06,,,642
1991,Terry Mulholland,Phillies,5.51,1.9,2.9,0.58,14.90%,5.10%,9.70%,0.256,1.21,0.289,69.90%,97,84,,3.61,3.14,0.46,,,665
1991,Roger Clemens,Red Sox,7.99,2.16,3.71,0.5,22.40%,6.00%,16.30%,0.217,1.05,0.272,73.10%,61,64,,2.62,2.57,0.05,,,815
1991,David Wells,Blue Jays,4.81,2.22,2.16,1.09,13.10%,6.00%,7.00%,0.247,1.19,0.26,73.50%,90,99,,3.72,4.13,-0.41,,,855
1991,Andy Benes,Padres,6.74,2.38,2.83,0.93,18.40%,6.50%,11.90%,0.23,1.13,0.261,80.50%,81,92,,3.03,3.55,-0.52,,,1144
1991,David Cone,Mets,9.32,2.82,3.3,0.5,25.00%,7.60%,17.40%,0.23,1.19,0.301,70.90%,91,67,,3.29,2.52,0.77,,,1680
1991,Steve Avery,Braves,5.86,2.78,2.11,0.9,15.80%,7.50%,8.30%,0.236,1.21,0.262,73.80%,88,100,,3.38,3.82,-0.44,,,1706
1991,Jim Abbott,Angels,5.85,2.7,2.16,0.52,15.80%,7.30%,8.50%,0.24,1.21,0.277,76.70%,70,79,,2.89,3.27,-0.38,,,1000012
1991,Tim Belcher,Dodgers,6.71,3.22,2.08,0.43,17.70%,8.50%,9.20%,0.235,1.26,0.281,75.40%,74,84,,2.62,3.09,-0.47,,,1000789
1991,Mike Bielecki,- - -,3.89,2.9,1.34,0.93,10.30%,7.70%,2.60%,0.256,1.31,0.266,67.70%,115,113,,4.46,4.34,0.12,,,1000951
1991,Bud Black,Giants,4.37,2.98,1.46,1.05,11.70%,8.00%,3.70%,0.246,1.27,0.255,71.40%,112,120,,3.99,4.45,-0.46,,,1001007
1991,Mike Boddicker,Royals,3.94,2.94,1.34,0.65,10.20%,7.60%,2.60%,0.267,1.37,0.286,70.70%,99,106,,4.08,4.11,-0.03,,,1001111
1991,Chris Bosio,Brewers,5.14,2.55,2.02,0.66,13.90%,6.90%,7.00%,0.242,1.2,0.268,74.60%,81,92,,3.25,3.63,-0.38,,,1001212
1991,Oil Can Boyd,- - -,5.68,2.81,2.02,1.04,14.90%,7.40%,7.50%,0.274,1.39,0.302,70.20%,120,105,,4.59,4.03,0.56,,,1001279
1991,Tom Browning,Reds,4.49,2.19,2.05,1.25,11.70%,5.70%,6.00%,0.261,1.29,0.269,69.10%,111,114,,4.18,4.44,-0.26,,,1001566
1991,Tom Candiotti,- - -,6.32,2.76,2.29,0.45,17.00%,7.40%,9.60%,0.224,1.16,0.263,75.30%,64,76,,2.65,3.1,-0.46,,,1001911
1991,Ron Darling,- - -,5.97,3.29,1.82,1.02,15.60%,8.60%,7.00%,0.248,1.32,0.273,70.50%,114,112,,4.26,4.23,0.03,,,1002989
1991,Jose DeJesus,Phillies,5.85,6.34,0.92,0.35,14.70%,16.00%,-1.30%,0.22,1.51,0.257,76.20%,92,114,,3.42,4.24,-0.82,,,1003151
1991,Jose DeLeon,Cardinals,6.53,3.38,1.93,0.83,17.40%,9.00%,8.40%,0.235,1.26,0.269,81.10%,74,103,,2.71,3.84,-1.13,,,1003168
